"Class"	"Phylum"
"427"	"Clostridia"	"Firmicutes"
"428"	"Bacilli"	"Firmicutes"
"429"	"Gammaproteobacteria"	"Proteobacteria"
"430"	"Alphaproteobacteria"	"Proteobacteria"
"431"	"Gammaproteobacteria"	"Proteobacteria"
"432"	"Alphaproteobacteria"	"Proteobacteria"
"433"	"Actinomycetia"	"Actinobacteriota"
"434"	"Gammaproteobacteria"	"Proteobacteria"
"435"	"Alphaproteobacteria"	"Proteobacteria"
"436"	"Bacilli"	"Firmicutes"
"437"	"Alphaproteobacteria"	"Proteobacteria"
"438"	"Campylobacteria"	"Campylobacterota"
"439"	"Myxococcia"	"Myxococcota"
"440"	"Thermotogae"	"Thermotogota"
"441"	"Alphaproteobacteria"	"Proteobacteria"
"442"	"Campylobacteria"	"Campylobacterota"
"443"	"Leptospirae"	"Spirochaetota"
"444"	"Gammaproteobacteria"	"Proteobacteria"
"445"	"Leptospirae"	"Spirochaetota"
"446"	"Gammaproteobacteria"	"Proteobacteria"
"447"	"Campylobacteria"	"Campylobacterota"
"448"	"Gammaproteobacteria"	"Proteobacteria"
"449"	"Gammaproteobacteria"	"Proteobacteria"
"450"	"Gammaproteobacteria"	"Proteobacteria"
"451"	"Chloroflexia"	"Chloroflexota"
"452"	"Cyanobacteriia"	"Cyanobacteria"
"453"	"Thermotogae"	"Thermotogota"
"454"	"Bacilli"	"Firmicutes"
"455"	"Campylobacteria"	"Campylobacterota"
"456"	"Gammaproteobacteria"	"Proteobacteria"
"457"	"Gammaproteobacteria"	"Proteobacteria"
"458"	"Gammaproteobacteria"	"Proteobacteria"
"459"	"Cyanobacteriia"	"Cyanobacteria"
"460"	"Cyanobacteriia"	"Cyanobacteria"
"461"	"Bacilli"	"Firmicutes"
"462"	"Alphaproteobacteria"	"Proteobacteria"
"463"	"Bacilli"	"Firmicutes"
"464"	"Alphaproteobacteria"	"Proteobacteria"
"465"	"Alphaproteobacteria"	"Proteobacteria"
"466"	"Alphaproteobacteria"	"Proteobacteria"
"467"	"Gammaproteobacteria"	"Proteobacteria"
"468"	"Clostridia"	"Firmicutes"
"469"	"Actinomycetia"	"Actinobacteriota"
"470"	"Gammaproteobacteria"	"Proteobacteria"
"471"	"Desulfobacteria"	"Desulfobacterota"
"472"	"Desulfotomaculia"	"Firmicutes"
"473"	"Gammaproteobacteria"	"Proteobacteria"
"474"	"Gammaproteobacteria"	"Proteobacteria"
"475"	"Alphaproteobacteria"	"Proteobacteria"
"476"	"Alphaproteobacteria"	"Proteobacteria"
"477"	"Thermotogae"	"Thermotogota"
"478"	"Gammaproteobacteria"	"Proteobacteria"
"479"	"Gammaproteobacteria"	"Proteobacteria"
"480"	"Clostridia"	"Firmicutes"
"481"	"Gammaproteobacteria"	"Proteobacteria"
"482"	"Alphaproteobacteria"	"Proteobacteria"
"483"	"Gammaproteobacteria"	"Proteobacteria"
"484"	"Gammaproteobacteria"	"Proteobacteria"
"485"	"Bacilli"	"Firmicutes"
"486"	"Gammaproteobacteria"	"Proteobacteria"
"487"	"Bacilli"	"Firmicutes"
"488"	"Chloroflexia"	"Chloroflexota"
"489"	"Actinomycetia"	"Actinobacteriota"
"490"	"Alphaproteobacteria"	"Proteobacteria"
"491"	"Thermotogae"	"Thermotogota"
"492"	"Bacilli"	"Firmicutes"
"493"	"Bacilli"	"Firmicutes"
"494"	"Bacilli"	"Firmicutes"
"495"	"Bacilli"	"Firmicutes"
"496"	"Bacilli"	"Firmicutes"
"497"	"Thermoanaerobacteria"	"Firmicutes"
