EC number	Scoring Based on Function
1.2.1.75	1
1.2.1.76	1
1.2.1.77	1
1.2.1.78	5
1.2.1.79	1
1.2.1.80	1
1.2.1.81	1
1.2.1.82	1
1.2.1.83	1
1.2.1.84	1
1.2.1.85	1
1.2.1.86	1
1.2.1.87	1
1.2.1.88	1
1.2.1.89	1
1.2.1.90	1
1.2.1.91	1
1.2.1.92	1
1.2.1.93	1
1.2.1.94	1
1.2.1.95	1
1.2.1.96	1
1.2.1.97	1
1.2.1.98	1
1.2.1.99	1
1.2.1.100	1
1.2.1.101	1
1.2.1.102	1
1.2.1.103	1
1.2.1.104	1
1.2.1.105	1
1.2.2.1	1
1.2.2.B1	1
1.2.2.2	1
1.2.2.B2	1
1.2.2.3	1
1.2.2.4	1
1.2.3.1	1
1.2.3.2	1
1.2.3.3	1
1.2.3.4	1
1.2.3.5	1
1.2.3.6	1
1.2.3.7	1
1.2.3.8	1
1.2.3.9	1
1.2.3.10	1
1.2.3.11	1
1.2.3.12	1
1.2.3.13	1
1.2.3.14	1
1.2.3.15	1
1.2.4.1	0.5
1.2.4.2	0.5
1.2.4.3	1
1.2.4.4	1
1.2.5.1	1
1.2.5.2	1
1.2.5.3	1
1.2.7.1	1
1.2.7.2	1
1.2.7.B2	1
1.2.7.3	1
1.2.7.B3	1
1.2.7.4	1
1.2.7.5	1
1.2.7.6	1
1.2.7.7	1
1.2.7.8	1
1.2.7.9	1
1.2.7.10	1
1.2.7.11	1
1.2.7.12	1
1.2.98.1	1
1.2.99.1	1
1.2.99.2	1
1.2.99.3	1
1.2.99.4	1
1.2.99.5	1
1.2.99.6	1
1.2.99.7	1
1.2.99.8	1
1.2.99.9	1
1.2.99.10	1
1.3.1.1	1
1.3.1.2	1
1.3.1.3	1
1.3.1.4	1
1.3.1.5	1
1.3.1.6	1
1.3.1.B7	1
1.3.1.7	1
1.3.1.8	1
1.3.1.9	1
1.3.1.10	1
1.3.1.11	1
1.3.1.12	1
1.3.1.B13	1
1.3.1.13	1
1.3.1.B14	1
1.3.1.14	1
1.3.1.15	5
1.3.1.16	1
1.3.1.17	1
1.3.1.18	1
1.3.1.19	5
1.3.1.20	1
1.3.1.21	1
1.3.1.22	1
1.3.1.23	1
1.3.1.24	1
1.3.1.25	1
1.3.1.26	1
1.3.1.27	1
1.3.1.28	1
1.3.1.29	5
1.3.1.30	1
1.3.1.31	1
1.3.1.32	1
1.3.1.33	1
1.3.1.34	1
1.3.1.35	1
1.3.1.36	1
1.3.1.37	1
1.3.1.38	1
1.3.1.39	1
1.3.1.40	1
1.3.1.41	1
1.3.1.42	1
1.3.1.43	1
1.3.1.44	1
1.3.1.45	1
1.3.1.46	1
1.3.1.47	1
1.3.1.48	1
1.3.1.49	5
1.3.1.50	1
1.3.1.51	1
1.3.1.52	1
1.3.1.53	5
1.3.1.54	1
1.3.1.55	1
1.3.1.56	1
1.3.1.57	1
1.3.1.58	1
1.3.1.59	1
1.3.1.60	1
1.3.1.61	1
1.3.1.62	1
1.3.1.63	1
1.3.1.64	5
1.3.1.65	1
1.3.1.66	1
1.3.1.67	1
1.3.1.68	1
1.3.1.69	1
1.3.1.70	1
1.3.1.71	1
1.3.1.72	1
1.3.1.73	1
1.3.1.74	1
1.3.1.75	1
1.3.1.76	1
1.3.1.77	1
1.3.1.78	1
1.3.1.79	1
1.3.1.80	1
1.3.1.81	1
1.3.1.82	1
1.3.1.83	1
1.3.1.84	1
1.3.1.85	1
1.3.1.86	1
1.3.1.87	1
1.3.1.88	1
1.3.1.89	1
1.3.1.90	1
1.3.1.91	1
1.3.1.92	1
1.3.1.93	1
1.3.1.94	1
1.3.1.95	1
1.3.1.96	1
1.3.1.97	1
1.3.1.98	1
1.3.1.99	1
1.3.1.100	1
1.3.1.101	1
1.3.1.102	1
1.3.1.103	1
1.3.1.104	1
1.3.1.105	1
1.3.1.106	1
1.3.1.107	1
1.3.1.108	1
1.3.1.109	1
1.3.1.110	1
1.3.1.111	1
1.3.1.112	1
1.3.1.113	1
1.3.1.114	1
1.3.1.115	1
1.3.1.116	1
1.3.1.117	1
1.3.1.118	1
1.3.1.119	1
1.3.1.120	1
1.3.1.121	1
1.3.1.122	1
1.3.1.123	1
1.3.1.124	1
1.3.2.1	1
1.3.2.2	1
1.3.2.3	1
